,ratio,index,dataset,time [hrs],rmse,r2
900,0.25,26.0,Grid1296,0.07274523364173041,267.23048884271344,-5.982183401356395
901,0.25,26.0,Grid2401,0.4078156958685981,436.7182197579978,-16.89853210576624
902,0.25,26.0,Sobol1,0.6261066301001443,20.387100096234192,0.9522907126714302
903,0.25,26.0,Sobol2,0.6809123257133696,20.574707087567113,0.9514744396977641
904,0.25,27.0,Grid1296,0.024819553560680812,239.4940324627297,-4.616971132145176
905,0.25,27.0,Grid2401,0.21978097008334266,426.6304673713933,-15.992018990240272
906,0.25,27.0,Sobol1,0.18809770617220137,21.128043929277908,0.9502183560297139
907,0.25,27.0,Sobol2,0.2641757020023134,20.221050810638946,0.9525563810252772
908,0.25,28.0,Grid1296,0.1568274931775199,269.8310014480989,-6.155847311930375
909,0.25,28.0,Grid2401,0.37487907118267483,446.9406154744435,-17.742318222554115
910,0.25,28.0,Sobol1,2.07652050587866,21.99964831525149,0.9447167573166023
911,0.25,28.0,Sobol2,1.6625725777281655,30.500538694533834,0.8929637766380437
912,0.25,29.0,Grid1296,0.17858139753341676,252.7328907332544,-5.287170222038959
913,0.25,29.0,Grid2401,0.4806428312593036,454.25012048460474,-18.461387651002322
914,0.25,29.0,Sobol1,2.4075259612003963,21.957886219921374,0.9467246193749098
915,0.25,29.0,Sobol2,1.7377073434326384,188.67082496391416,-3.095757392107907
916,0.25,30.0,Grid1296,0.08104136056370205,240.86007463428643,-4.663029403369987
917,0.25,30.0,Grid2401,0.2600232525666555,431.7286628856171,-16.395896843406295
918,0.25,30.0,Sobol1,0.8021763502226935,22.00511885972073,0.9455785010043928
919,0.25,30.0,Sobol2,0.8680354972018136,24.430974611728352,0.931611758836927
920,0.25,31.0,Grid1296,0.10727902293205262,264.0298580594262,-5.810640850319559
921,0.25,31.0,Grid2401,0.6641022573577033,432.5849069631979,-16.51428001178857
922,0.25,31.0,Sobol1,1.6731961986091402,22.32173419432064,0.9436836985992064
923,0.25,31.0,Sobol2,1.3804414274957444,29.81032404406406,0.899141863857734
924,0.25,32.0,Grid1296,0.12824088189336988,231.0225679185802,-4.202072323076298
925,0.25,32.0,Grid2401,0.29107000602616206,419.60788504801343,-15.436692108900633
926,0.25,32.0,Sobol1,1.2843806371423934,22.646034579569204,0.943054024629063
927,0.25,32.0,Sobol2,1.2964692998594707,20.121303475503296,0.9540839831344886
928,0.25,33.0,Grid1296,0.12538296831978693,285.0484549394758,-6.985336181373792
929,0.25,33.0,Grid2401,0.34741249826219345,453.63464460090825,-18.2538451993141
930,0.25,33.0,Sobol1,2.0516631189982095,22.22754716595379,0.944710765036765
931,0.25,33.0,Sobol2,1.9250527945492002,22.93023973476129,0.9396617422374317
932,0.25,34.0,Grid1296,0.1233653771215015,254.51407629000295,-5.323835819611306
933,0.25,34.0,Grid2401,0.4387415417697695,440.9800104455662,-17.246604681280505
934,0.25,34.0,Sobol1,2.5537972660859425,129.3553834268316,-0.8691807612098061
935,0.25,34.0,Sobol2,1.8048096299833722,27.343735206861854,0.9151425721480753
936,0.25,35.0,Grid1296,0.0786440991030799,247.4661685547805,-4.976770582821578
937,0.25,35.0,Grid2401,0.30758549869060514,366.6214056671677,-11.590841756563327
938,0.25,35.0,Sobol1,0.780612816479471,21.893221068070385,0.945013502911648
939,0.25,35.0,Sobol2,0.8090584576129913,26.72257337372152,0.918646063740792
940,0.25,36.0,Grid1296,0.1497873791721132,247.2178631962865,-4.998611035706463
941,0.25,36.0,Grid2401,0.4276460628377067,420.12724780606413,-15.474127296928497
942,0.25,36.0,Sobol1,1.715609133111106,21.891652319281974,0.9453090339553927
943,0.25,36.0,Sobol2,1.4311649958954917,185.63456641822893,-2.8585132727250073
944,0.25,37.0,Grid1296,0.11594496627648672,268.26841670688657,-5.98973357138682
945,0.25,37.0,Grid2401,0.5564212959342533,427.32663576003534,-16.121128256771296
946,0.25,37.0,Sobol1,1.7933125148216884,21.740448656755497,0.9462515724776039
947,0.25,37.0,Sobol2,1.5209323951933118,24.357720434458773,0.931372764515122
948,0.25,38.0,Grid1296,0.12738159782356687,246.0431152732124,-4.90232215338653
949,0.25,38.0,Grid2401,0.6009097973505656,447.65236944749864,-17.818280163346433
950,0.25,38.0,Sobol1,1.1878725151220957,21.25149372906157,0.9485586075469192
951,0.25,38.0,Sobol2,1.0747844970226288,27.39239446351415,0.9144461323483778
952,0.25,39.0,Grid1296,0.07962614589267307,268.5457977376561,-6.05947878336689
953,0.25,39.0,Grid2401,0.3100894632604387,434.11717481409613,-16.57325412772128
954,0.25,39.0,Sobol1,1.1575898141331142,22.28076307454956,0.9435912868855477
955,0.25,39.0,Sobol2,0.9736669070190853,25.92783443216004,0.9222861550830987
956,0.25,40.0,Grid1296,0.07546248078346253,247.73049401042203,-5.007213154325764
957,0.25,40.0,Grid2401,0.2744810813003116,421.1988638328514,-15.57011939957972
958,0.25,40.0,Sobol1,0.650243294901318,20.82951945254797,0.9507387839843681
959,0.25,40.0,Sobol2,0.5915934590498606,20.851682167465075,0.9512666334341502
960,0.25,41.0,Grid1296,0.10983353906207614,247.57143628384358,-5.025165084999412
961,0.25,41.0,Grid2401,0.28320231649610733,413.9721824422933,-14.991764965875827
962,0.25,41.0,Sobol1,1.1835569790336822,20.79298951293107,0.9508369296638906
963,0.25,41.0,Sobol2,1.0339838042524125,25.777323262343877,0.9245083224312615
964,0.25,42.0,Grid1296,0.0636288183927536,260.20431794687227,-5.627225056870316
965,0.25,42.0,Grid2401,0.5459744648800956,434.42754217564703,-16.742282436653994
966,0.25,42.0,Sobol1,0.41778583354420135,21.61090663493003,0.9469435287673501
967,0.25,42.0,Sobol2,0.4713808481560813,20.62342909212786,0.9510749671992808
968,0.25,43.0,Grid1296,0.2044337679942449,264.5313715336847,-5.824559234324978
969,0.25,43.0,Grid2401,0.5424585096041361,366.7116546794156,-11.51994122983265
970,0.25,43.0,Sobol1,3.28542223725054,21.220341698008596,0.9495932488879436
971,0.25,43.0,Sobol2,1.9807628948158689,24.90956952361484,0.9272122547121444
972,0.25,44.0,Grid1296,0.1729217959112591,236.19966515836737,-4.424539694666126
973,0.25,44.0,Grid2401,0.30950931979550256,395.81987042131846,-13.630616520296748
974,0.25,44.0,Sobol1,2.0622433098157247,22.518021162867008,0.942578104435937
975,0.25,44.0,Sobol2,1.6636375623941422,20.250594261829406,0.9531026751416138
976,0.25,45.0,Grid1296,0.13334682193067338,248.97727917931945,-5.0518760242272585
977,0.25,45.0,Grid2401,0.43852799276510873,436.5418391784365,-16.803970836279753
978,0.25,45.0,Sobol1,1.43722538292408,20.964114538272913,0.9504594585878541
979,0.25,45.0,Sobol2,1.210546676715215,197.92899438191682,-3.464556002450421
980,0.25,46.0,Grid1296,0.1807009940014945,246.74030862996364,-4.9314039664802545
981,0.25,46.0,Grid2401,0.39909412291314866,391.3651265569108,-13.230094729552837
982,0.25,46.0,Sobol1,2.1921549575196373,21.085546290012996,0.9497836507178545
983,0.25,46.0,Sobol2,1.6645865522490608,28.351940151668572,0.9086091816866528
984,0.25,47.0,Grid1296,0.10495287795861562,253.65930162131392,-5.290141715025369
985,0.25,47.0,Grid2401,0.4863866789473428,465.92746862512945,-19.134899004812635
986,0.25,47.0,Sobol1,1.2495913124746747,22.28686198457582,0.9449811873099097
987,0.25,47.0,Sobol2,1.0033359730243683,20.36452336501085,0.9532102377635486
988,0.25,48.0,Grid1296,0.052989450361993574,226.7778449334149,-4.049458723225356
989,0.25,48.0,Grid2401,0.6596464555793339,425.2936280741342,-15.917024444536317
990,0.25,48.0,Sobol1,0.4273690871397654,21.95393862399197,0.9466474437016907
991,0.25,48.0,Sobol2,0.5165898376703262,28.520215923704495,0.906462082708346
992,0.25,49.0,Grid1296,0.1673843068546719,243.46609477614692,-4.811304015199577
993,0.25,49.0,Grid2401,0.4529656969176398,438.9159945912151,-17.017552731552193
994,0.25,49.0,Sobol1,2.0613116650448906,22.35345584545269,0.9434249002115215
995,0.25,49.0,Sobol2,1.76867303484016,24.921347207055476,0.9285823106585842
996,0.25,50.0,Grid1296,0.07403670827547709,254.30794206162966,-5.315251433173996
997,0.25,50.0,Grid2401,0.21719538264804417,352.8899812988755,-10.64836117647188
998,0.25,50.0,Sobol1,0.5584902452097998,20.97523769445551,0.9497768254075082
999,0.25,50.0,Sobol2,0.6154495910141203,24.941460880757532,0.9290661495432716
1000,0.3,1.0,Grid1296,0.04322391132513682,211.55056592124555,-3.4154413407899717
1001,0.3,1.0,Grid2401,0.33797831581698523,413.43814611804635,-15.071580782417609
1002,0.3,1.0,Sobol1,0.32598853594726984,22.22065735268087,0.9450388054195366
