,ratio,rndint,dataset,degree,rmse,r2
28977,0.75,48.0,Grid2401,5.0,299.41922668465725,-8.005404174776777
28978,0.75,48.0,Sobol1,5.0,23.2088967799432,0.9428987135113233
28979,0.75,48.0,Sobol2,5.0,20.459055861819795,0.9558501297929968
28980,0.75,48.0,Grid1296,6.0,2990441715.916702,-904990889317752.6
28981,0.75,48.0,Grid2401,6.0,314.0823035747681,-8.90902161173739
28982,0.75,48.0,Sobol1,6.0,24.56217359992767,0.936045590706644
28983,0.75,48.0,Sobol2,6.0,21.217644746435187,0.9525154198854494
28984,0.75,48.0,Grid1296,7.0,507.2263409742067,-25.036171305256627
28985,0.75,48.0,Grid2401,7.0,3237.5658700288473,-1051.8853111240835
28986,0.75,48.0,Sobol1,7.0,35.929558431653476,0.8631513055440061
28987,0.75,48.0,Sobol2,7.0,26.936311029480404,0.9234695105006122
28988,0.75,48.0,Grid1296,8.0,283.33720033692646,-7.124202109130039
28989,0.75,48.0,Grid2401,8.0,11934.335591304372,-14305.728398448455
28990,0.75,48.0,Sobol1,8.0,319.6636152013123,-9.832365677029669
28991,0.75,48.0,Sobol2,8.0,143.9776745127889,-1.1864953809801384
28992,0.75,48.0,Grid1296,9.0,325.71228522175,-9.735982664503169
28993,0.75,48.0,Grid2401,9.0,7748.5888747711015,-6029.996520816091
28994,0.75,48.0,Sobol1,9.0,305.8688675804328,-8.917619664560345
28995,0.75,48.0,Sobol2,9.0,113.38998941097432,-0.3561498627249138
28996,0.75,48.0,Grid1296,10.0,823.1023598241695,-67.56164293318977
28997,0.75,48.0,Grid2401,10.0,6913.968579209491,-4800.740033992329
28998,0.75,48.0,Sobol1,10.0,207.1171247542868,-3.5474602959087242
28999,0.75,48.0,Sobol2,10.0,167.20684600807647,-1.948942908767512
29000,0.75,986.0,Grid1296,1.0,75.62223909911069,0.4159703859910482
29001,0.75,986.0,Grid2401,1.0,93.62614193997717,0.12248948426787853
29002,0.75,986.0,Sobol1,1.0,72.88384851479395,0.4418293724999023
29003,0.75,986.0,Sobol2,1.0,74.05111223008949,0.41555103356986645
29004,0.75,986.0,Grid1296,2.0,44.72648795406496,0.7957013956859844
29005,0.75,986.0,Grid2401,2.0,77.60100439992142,0.39717291219633777
29006,0.75,986.0,Sobol1,2.0,39.16646616341312,0.838811830763615
29007,0.75,986.0,Sobol2,2.0,39.19678716981492,0.836248847707121
29008,0.75,986.0,Grid1296,3.0,25.47508713741723,0.9337223408810909
29009,0.75,986.0,Grid2401,3.0,43.37570627759553,0.8116562588011832
29010,0.75,986.0,Sobol1,3.0,24.306449696735587,0.9379206097577031
29011,0.75,986.0,Sobol2,3.0,28.63844617921564,0.9125857320119142
29012,0.75,986.0,Grid1296,4.0,48.771216086181205,0.7570801669583991
29013,0.75,986.0,Grid2401,4.0,50.24558753605319,0.7472716674848432
29014,0.75,986.0,Sobol1,4.0,27.707093684180744,0.9193347783109505
29015,0.75,986.0,Sobol2,4.0,22.060473873877296,0.9481303762882236
29016,0.75,986.0,Grid1296,5.0,62.610812332802666,0.5996549328979481
29017,0.75,986.0,Grid2401,5.0,61.08632734544258,0.6264522676828054
29018,0.75,986.0,Sobol1,5.0,25.500897921463874,0.9316693847735611
29019,0.75,986.0,Sobol2,5.0,22.350580446337318,0.9467571817272079
29020,0.75,986.0,Grid1296,6.0,7970422105.041342,-6487814861808054.0
29021,0.75,986.0,Grid2401,6.0,205.32827480081232,-3.220419202890798
29022,0.75,986.0,Sobol1,6.0,19.23427702749206,0.9611262784962099
29023,0.75,986.0,Sobol2,6.0,38.85134072107751,0.8391224498960719
29024,0.75,986.0,Grid1296,7.0,419.9958914428411,-17.01465248269933
29025,0.75,986.0,Grid2401,7.0,828.8482888794874,-67.7714473549779
29026,0.75,986.0,Sobol1,7.0,36.846722763803,0.8573400331368729
29027,0.75,986.0,Sobol2,7.0,65.8414318601165,0.5379574659746285
29028,0.75,986.0,Grid1296,8.0,167.40655983683936,-1.8620732747559607
29029,0.75,986.0,Grid2401,8.0,25498.04811674108,-65082.65687027336
29030,0.75,986.0,Sobol1,8.0,352.488828297296,-12.055547812649786
29031,0.75,986.0,Sobol2,8.0,114.11122836002747,-0.3878425036077213
29032,0.75,986.0,Grid1296,9.0,159.75097321783875,-1.6062905531628715
29033,0.75,986.0,Grid2401,9.0,3650.428465402549,-1332.9690663003273
29034,0.75,986.0,Sobol1,9.0,116.07434327025895,-0.41571833197898966
29035,0.75,986.0,Sobol2,9.0,250.84285610794797,-5.706360530745005
29036,0.75,986.0,Grid1296,10.0,231.9680895957201,-4.4953112595508875
29037,0.75,986.0,Grid2401,10.0,2153.5067153025725,-463.2485273898235
29038,0.75,986.0,Sobol1,10.0,150.15808184953855,-1.3692004646136997
29039,0.75,986.0,Sobol2,10.0,299.4832555960156,-8.559353332291643
29040,0.75,829.0,Grid1296,1.0,75.32920484587272,0.4222612473443459
29041,0.75,829.0,Grid2401,1.0,95.58327558615046,0.07891013112157474
