,ratio,rndint,dataset,degree,prediction,target,diff
99,0.05,561.0,Sobol2,5,724.7096758510538,707.0,-17.709675851053817
100,0.05,561.0,Grid1296,6,11818476.125,707.0,-11817769.125
101,0.05,561.0,Grid2401,6,710.25,707.0,-3.25
102,0.05,561.0,Sobol1,6,719.0256780484266,707.0,-12.025678048426585
103,0.05,561.0,Sobol2,6,730.7184816386965,707.0,-23.718481638696517
104,0.05,561.0,Grid1296,7,-9423991.125,707.0,9424698.125
105,0.05,561.0,Grid2401,7,5484369.5,707.0,-5483662.5
106,0.05,561.0,Sobol1,7,718.8210323961771,707.0,-11.821032396177088
107,0.05,561.0,Sobol2,7,725.0004969971669,707.0,-18.00049699716692
108,0.05,561.0,Grid1296,8,-14393483.03125,707.0,14394190.03125
109,0.05,561.0,Grid2401,8,8250896.5,707.0,-8250189.5
110,0.05,561.0,Sobol1,8,715.6952707596938,707.0,-8.695270759693813
111,0.05,561.0,Sobol2,8,722.7586293588611,707.0,-15.758629358861072
112,0.05,561.0,Grid1296,9,-1129322.0625,707.0,1130029.0625
113,0.05,561.0,Grid2401,9,5233942.8125,707.0,-5233235.8125
114,0.05,561.0,Sobol1,9,717.1269408464432,707.0,-10.126940846443176
115,0.05,561.0,Sobol2,9,715.0976755917072,707.0,-8.09767559170723
116,0.05,561.0,Grid1296,10,-18586493761.540527,707.0,18586494468.540527
117,0.05,561.0,Grid2401,10,-26873294.25,707.0,26874001.25
118,0.05,561.0,Sobol1,10,718.344309180975,707.0,-11.34430918097496
119,0.05,561.0,Sobol2,10,702.8222009539604,707.0,4.177799046039581
120,0.05,237.0,Grid1296,1,741.3460102994495,707.0,-34.34601029944952
121,0.05,237.0,Grid2401,1,777.8595263110793,707.0,-70.85952631107932
122,0.05,237.0,Sobol1,1,680.0763422643038,707.0,26.923657735696224
123,0.05,237.0,Sobol2,1,665.659927479838,707.0,41.34007252016204
124,0.05,237.0,Grid1296,2,750.2108921782441,707.0,-43.21089217824408
125,0.05,237.0,Grid2401,2,775.0034061207454,707.0,-68.00340612074535
126,0.05,237.0,Sobol1,2,708.2566618804874,707.0,-1.2566618804873997
127,0.05,237.0,Sobol2,2,702.4616039576737,707.0,4.538396042326326
128,0.05,237.0,Grid1296,3,730.75,707.0,-23.75
129,0.05,237.0,Grid2401,3,744.0518123694633,707.0,-37.05181236946328
130,0.05,237.0,Sobol1,3,735.1435438098481,707.0,-28.143543809848097
131,0.05,237.0,Sobol2,3,734.1960936447994,707.0,-27.19609364479936
132,0.05,237.0,Grid1296,4,709.25,707.0,-2.25
133,0.05,237.0,Grid2401,4,717.2335382381771,707.0,-10.233538238177061
134,0.05,237.0,Sobol1,4,730.0194023075246,707.0,-23.019402307524615
135,0.05,237.0,Sobol2,4,723.3127648832126,707.0,-16.312764883212594
136,0.05,237.0,Grid1296,5,698.84375,707.0,8.15625
137,0.05,237.0,Grid2401,5,721.75,707.0,-14.75
138,0.05,237.0,Sobol1,5,716.4375,707.0,-9.4375
139,0.05,237.0,Sobol2,5,724.6654493460636,707.0,-17.66544934606361
140,0.05,237.0,Grid1296,6,9061566.8125,707.0,-9060859.8125
141,0.05,237.0,Grid2401,6,728.9335400139568,707.0,-21.93354001395676
