,ratio,rndint,dataset,degree,rmse,r2,prediction,target,diff
15180,0.4,759.0,Grid1296,6.0,1351464766.8951252,-180733243749409.25,-82374137.875,707.0,82374844.875
15181,0.4,759.0,Grid2401,6.0,79.98708752999745,0.3891472903548291,712.1724277446627,707.0,-5.172427744662741
15182,0.4,759.0,Sobol1,6.0,19.78257349145884,0.957229059034887,716.7055075193082,707.0,-9.705507519308185
15183,0.4,759.0,Sobol2,6.0,19.03394674297828,0.9601796767200338,723.0953737482763,707.0,-16.0953737482763
15184,0.4,759.0,Grid1296,7.0,2809379537.6977367,-780997092426819.4,-172660354.15625,707.0,172661061.15625
15185,0.4,759.0,Grid2401,7.0,11276109.025936414,-12139904489.544714,-989358.1330788136,707.0,990065.1330788136
15186,0.4,759.0,Sobol1,7.0,20.849380605863864,0.952491694093185,718.9880656101257,707.0,-11.98806561012566
15187,0.4,759.0,Sobol2,7.0,20.08144554869557,0.9556761959924908,715.9747572156562,707.0,-8.974757215656155
15188,0.4,759.0,Grid1296,8.0,6925339545.97366,-4745814187126506.0,372611528.796875,707.0,-372610821.796875
15189,0.4,759.0,Grid2401,8.0,5352085.866505817,-2734909010.648613,-69971.38071358204,707.0,70678.38071358204
15190,0.4,759.0,Sobol1,8.0,24.586743400052637,0.9339328995750724,717.36328125,707.0,-10.36328125
15191,0.4,759.0,Sobol2,8.0,21.792306398340084,0.9478020466728948,719.027765300707,707.0,-12.02776530070696
15192,0.4,759.0,Grid1296,9.0,2689032681.943704,-715518304517599.6,125596745.87225342,707.0,-125596038.87225342
15193,0.4,759.0,Grid2401,9.0,14409454.125063147,-19824023084.226803,761287.75,707.0,-760580.75
15194,0.4,759.0,Sobol1,9.0,44.16921579039278,0.7867826180420339,703.9375,707.0,3.0625
15195,0.4,759.0,Sobol2,9.0,25.884466631146665,0.9263580088138564,717.9572043605149,707.0,-10.95720436051488
15196,0.4,759.0,Grid1296,10.0,68218020.09544559,-460497003518.6809,-1288672.8621520996,707.0,1289379.8621520996
15197,0.4,759.0,Grid2401,10.0,690757929.1971877,-45556305338474.07,-44859226.34589386,707.0,44859933.34589386
15198,0.4,759.0,Sobol1,10.0,102.55272006266182,-0.1494169496652808,717.84375,707.0,-10.84375
15199,0.4,759.0,Sobol2,10.0,179.3850971041731,-2.536875738310429,729.5650106370449,707.0,-22.565010637044907
15200,0.4,390.0,Grid1296,1.0,77.4195075635792,0.4066883787821511,741.8848893169616,707.0,-34.88488931696156
15201,0.4,390.0,Grid2401,1.0,95.54262109312452,0.1244978476932662,778.0938131122475,707.0,-71.09381311224752
15202,0.4,390.0,Sobol1,1.0,71.17950983030039,0.4468310386862826,680.5517543989342,707.0,26.448245601065764
15203,0.4,390.0,Sobol2,1.0,72.16375449140983,0.4194563721622842,669.539956671424,707.0,37.46004332857604
15204,0.4,390.0,Grid1296,2.0,47.20030021960734,0.7794680245576632,756.0242580525194,707.0,-49.02425805251937
15205,0.4,390.0,Grid2401,2.0,77.39903918064087,0.425441764418605,771.6857456370301,707.0,-64.6857456370301
15206,0.4,390.0,Sobol1,2.0,39.24574654983958,0.8318360084196084,709.1930638811864,707.0,-2.19306388118639
15207,0.4,390.0,Sobol2,2.0,38.945112608145806,0.8309159858378451,710.0973789703952,707.0,-3.097378970395198
15208,0.4,390.0,Grid1296,3.0,25.525027492113235,0.9355067173357724,725.359375,707.0,-18.359375
15209,0.4,390.0,Grid2401,3.0,43.32191810940102,0.8199976108991651,742.3748088301268,707.0,-35.37480883012677
15210,0.4,390.0,Sobol1,3.0,25.573533841431995,0.9285948876708132,734.6571880160029,707.0,-27.65718801600292
15211,0.4,390.0,Sobol2,3.0,24.10175002160065,0.9352419478304708,736.7312548053512,707.0,-29.731254805351227
15212,0.4,390.0,Grid1296,4.0,48.55536739042324,0.7666238157266888,708.4375,707.0,-1.4375
15213,0.4,390.0,Grid2401,4.0,51.51111674050814,0.7455134431636488,716.5655155735535,707.0,-9.565515573553512
15214,0.4,390.0,Sobol1,4.0,23.285533474283028,0.940800205128498,728.6473645609292,707.0,-21.64736456092919
15215,0.4,390.0,Sobol2,4.0,23.06942703389236,0.9406705614686246,723.7906897025161,707.0,-16.790689702516147
