,ratio,rndint,dataset,rmse,mape,r2,prediction,target,diff
499,0.15,48.0,Sobol2,72.19126330411368,0.0943097324753759,0.3986719820100917,662.8009427892105,707.0,44.19905721078953
500,0.15,986.0,Grid1296,77.83049439929457,0.0952871620534591,0.4126543124483159,738.0915812567091,707.0,-31.091581256709105
501,0.15,986.0,Grid2401,100.11429475339816,0.1161000065763938,0.0745189587268104,779.4968166151233,707.0,-72.4968166151233
502,0.15,986.0,Sobol1,71.8053244794048,0.0937126275861077,0.4020582071322929,677.7990835123533,707.0,29.200916487646737
503,0.15,986.0,Sobol2,71.97460621376835,0.0941207984559504,0.3979946031778856,668.8411746820327,707.0,38.158825317967285
504,0.15,829.0,Grid1296,78.1054466730186,0.0954052988842356,0.4074320962682338,740.9662394847606,707.0,-33.96623948476065
505,0.15,829.0,Grid2401,100.19182407095062,0.1160486043266544,0.075787736919189,779.2383621934196,707.0,-72.23836219341956
506,0.15,829.0,Sobol1,72.05389384656505,0.0941232902272077,0.3988632230484771,676.3410237407948,707.0,30.658976259205247
507,0.15,829.0,Sobol2,72.25818067007891,0.0944901804393594,0.3945905119129971,666.1120829113088,707.0,40.88791708869121
508,0.15,996.0,Grid1296,77.59300507896867,0.0950363437143012,0.4160412150473687,736.7743662223509,707.0,-29.774366222350864
509,0.15,996.0,Grid2401,100.54937287502072,0.1163532084217383,0.0730201126380024,777.3018731804149,707.0,-70.30187318041487
510,0.15,996.0,Sobol1,71.67132811840112,0.0936039226575304,0.4142136262748943,678.9479648645663,707.0,28.052035135433698
511,0.15,996.0,Sobol2,72.22224050306895,0.0941494518356245,0.3913647560060354,664.3971927739716,707.0,42.6028072260284
512,0.15,272.0,Grid1296,78.1685430968771,0.0952425843980007,0.4075566254240452,739.9357490947054,707.0,-32.93574909470544
513,0.15,272.0,Grid2401,99.77235817039248,0.1157748585217989,0.0791405882511366,778.657807218666,707.0,-71.657807218666
514,0.15,272.0,Sobol1,71.4921237160241,0.0931636557951055,0.4129382938257788,680.7421790687711,707.0,26.257820931228935
515,0.15,272.0,Sobol2,72.15049102848783,0.0943726743407542,0.3950311272493553,666.4608811890187,707.0,40.539118810981336
516,0.15,759.0,Grid1296,78.16434250935076,0.0949442476699456,0.4072782787792788,739.8756157617072,707.0,-32.875615761707195
517,0.15,759.0,Grid2401,99.25172722998587,0.1151341094942855,0.095869232695702,775.9064694331262,707.0,-68.90646943312618
518,0.15,759.0,Sobol1,71.8218745227064,0.0938325669841042,0.4127733525571265,677.2861789537515,707.0,29.71382104624854
519,0.15,759.0,Sobol2,72.73313022960645,0.0949425943002898,0.3802561236517472,660.9210987153016,707.0,46.07890128469842
520,0.15,390.0,Grid1296,78.22202183277183,0.09516695558033,0.406335978539092,739.368343741527,707.0,-32.36834374152704
521,0.15,390.0,Grid2401,99.64716370871965,0.1154304238021055,0.0858079944560179,778.1215439803423,707.0,-71.12154398034227
522,0.15,390.0,Sobol1,71.10310632305999,0.0926361131672803,0.4279892505339195,680.6692551094743,707.0,26.330744890525693
523,0.15,390.0,Sobol2,71.89238471850804,0.0938361225627687,0.3959468695169794,667.7249737800017,707.0,39.27502621999827
524,0.15,930.0,Grid1296,78.56660462069236,0.0953683726571024,0.4016489536908695,741.2708102549855,707.0,-34.27081025498546
525,0.15,930.0,Grid2401,99.6563833778743,0.1154585847977961,0.0874704440465979,776.9678237791213,707.0,-69.96782377912132
526,0.15,930.0,Sobol1,71.56020143566695,0.0934906326064593,0.4120980496088211,679.4288113762027,707.0,27.571188623797298
527,0.15,930.0,Sobol2,72.25412761464763,0.0942061508812175,0.3901933234873661,664.0676723146797,707.0,42.932327685320274
528,0.15,633.0,Grid1296,77.40301789952302,0.0950390263940433,0.4168866763682863,736.7631775425343,707.0,-29.763177542534322
529,0.15,633.0,Grid2401,100.36498513714352,0.1161984864275684,0.074890307095804,777.7965733948621,707.0,-70.7965733948621
530,0.15,633.0,Sobol1,71.64991093685705,0.0934857704423616,0.4058901506567118,682.0047705757951,707.0,24.995229424204922
531,0.15,633.0,Sobol2,72.36096691929394,0.0946375537493671,0.3945792108105785,667.2387320757749,707.0,39.76126792422508
532,0.15,928.0,Grid1296,78.22999071482592,0.0951856598795784,0.4064128878895834,740.2871967497331,707.0,-33.287196749733084
