,ratio,rndint,dataset,rmse,mape,r2
100,0.05,986.0,Grid1296,78.37504615898418,0.09582028000385966,0.40934910333555274
101,0.05,986.0,Grid2401,101.15131853756996,0.11809119596582836,0.072977381389003
102,0.05,986.0,Sobol1,71.41476752562627,0.09302010052821295,0.40944644535282293
103,0.05,986.0,Sobol2,72.00342630685667,0.09379587123260164,0.3816228272353177
104,0.05,829.0,Grid1296,78.39826767954612,0.09591564479346126,0.4077505875018894
105,0.05,829.0,Grid2401,101.83619475277342,0.11879552214643359,0.05931392482753528
106,0.05,829.0,Sobol1,71.31584418321675,0.09276675583299393,0.406488053382726
107,0.05,829.0,Sobol2,72.023407511947,0.09369558201441693,0.38252823839234007
108,0.05,996.0,Grid1296,78.24230046314241,0.09576130415728065,0.41042584795397197
109,0.05,996.0,Grid2401,102.08685755618241,0.11916862790645219,0.057774668006742136
110,0.05,996.0,Sobol1,71.45462422543925,0.09305627534229373,0.4095903827284414
111,0.05,996.0,Sobol2,72.18144326532355,0.09383661622213259,0.3748266887635435
112,0.05,272.0,Grid1296,78.21178515858335,0.09586055302961406,0.40942931403009963
113,0.05,272.0,Grid2401,101.12687814823582,0.11807719732512517,0.06979124574625262
114,0.05,272.0,Sobol1,71.3895847055848,0.09285847493726078,0.4058742773221834
115,0.05,272.0,Sobol2,71.94260498161269,0.09387923803796967,0.3903130895134621
116,0.05,759.0,Grid1296,78.39761065887352,0.09585101822595017,0.4070598179972744
117,0.05,759.0,Grid2401,101.10418430700625,0.11805527629865777,0.07395174378996305
118,0.05,759.0,Sobol1,71.20378542631299,0.09262345392944443,0.41241954275882176
119,0.05,759.0,Sobol2,72.00400050754982,0.09371003079010964,0.3815868797580261
120,0.05,390.0,Grid1296,78.5371805344404,0.09595969686985593,0.4066724174552613
121,0.05,390.0,Grid2401,101.32501894403005,0.1182474362778922,0.06958682663510196
122,0.05,390.0,Sobol1,71.4888441372371,0.09312150561725192,0.4053070788945282
123,0.05,390.0,Sobol2,71.9365415508578,0.09368394748132898,0.38773037240696995
124,0.05,930.0,Grid1296,78.4839943528617,0.09579280049092401,0.4067370067602255
125,0.05,930.0,Grid2401,101.30985014283013,0.11820008257746037,0.07074805998772704
126,0.05,930.0,Sobol1,71.21582820698143,0.09263477432691551,0.4094809906675648
127,0.05,930.0,Sobol2,72.08331115941738,0.09373781468627622,0.38267709318275867
128,0.05,633.0,Grid1296,78.37183684267352,0.09584297567791229,0.40849158539169705
129,0.05,633.0,Grid2401,101.81864330778718,0.11877721200687508,0.06078905319469574
130,0.05,633.0,Sobol1,71.3814877892635,0.09288606589396158,0.4058651113759596
131,0.05,633.0,Sobol2,71.98508429123221,0.09363185650057318,0.38251247397524213
132,0.05,928.0,Grid1296,78.58204451265262,0.09599471421440528,0.4061049538279685
133,0.05,928.0,Grid2401,101.07242398390699,0.11791101385601803,0.07536561366253369
134,0.05,928.0,Sobol1,71.22231937299125,0.09261472910036866,0.4135910315540898
135,0.05,928.0,Sobol2,71.79218629431284,0.09332338525269264,0.3859127086663632
136,0.05,854.0,Grid1296,78.49061985807556,0.09575063941653383,0.40765613688122637
137,0.05,854.0,Grid2401,101.84389026826423,0.11888204517120556,0.06107426405801075
138,0.05,854.0,Sobol1,71.5424385651503,0.09306667878724584,0.40160817941153637
139,0.05,854.0,Sobol2,72.05896928704166,0.09367009001708065,0.37511438752294446
140,0.05,554.0,Grid1296,78.42761025496354,0.09592263803944921,0.407855469329682
141,0.05,554.0,Grid2401,101.43882349828885,0.11840519540761263,0.06496121268722255
142,0.05,554.0,Sobol1,71.33349276454591,0.09285184726729388,0.4036619225976822
143,0.05,554.0,Sobol2,72.30437470586295,0.09404038666584068,0.3737015162152749
144,0.05,562.0,Grid1296,78.05663498238502,0.09570002540797262,0.4134805269637867
145,0.05,562.0,Grid2401,101.58169233719526,0.11865862561277071,0.06391605962371283
146,0.05,562.0,Sobol1,71.51964790634659,0.09312139301422047,0.4066567008720994
147,0.05,562.0,Sobol2,71.82106078958269,0.09333915856554141,0.3868755353452301
148,0.05,78.0,Grid1296,79.34241934550757,0.09610901435684853,0.3974594049595678
149,0.05,78.0,Grid2401,101.98177797405211,0.11913105446428446,0.057906145381561025
150,0.05,78.0,Sobol1,71.35243042897586,0.09279446958037403,0.4056733359080047
151,0.05,78.0,Sobol2,71.94215666161368,0.09369748677913727,0.3865931403248698
152,0.05,222.0,Grid1296,78.26325611698685,0.09583507513181247,0.4102274939526097
153,0.05,222.0,Grid2401,101.5025079331957,0.11841351052826096,0.06765416933202872
154,0.05,222.0,Sobol1,71.47282625717494,0.09295881068389565,0.4073813797564697
155,0.05,222.0,Sobol2,71.91273431407795,0.09357029355607945,0.38154469649017775
156,0.05,294.0,Grid1296,78.53612775279797,0.0957861539518868,0.40623628951891144
157,0.05,294.0,Grid2401,101.78684696502451,0.11882399031304568,0.06040021882179747
158,0.05,294.0,Sobol1,71.33321275442542,0.09272331061164514,0.40399908932079764
159,0.05,294.0,Sobol2,71.82586279429898,0.09357238799335886,0.39069030746368405
160,0.05,725.0,Grid1296,78.05917490404599,0.09564963664468117,0.41224723139609787
161,0.05,725.0,Grid2401,101.70276855739647,0.11882832054301194,0.05932169020017175
162,0.05,725.0,Sobol1,71.63938864046948,0.09329998805992344,0.3999672033100168
163,0.05,725.0,Sobol2,71.9825244173747,0.09365944626065163,0.37996432729543494
164,0.05,582.0,Grid1296,78.825439569592,0.09601427753091414,0.4028865093464511
165,0.05,582.0,Grid2401,101.34773455768803,0.11831987442191241,0.06821892343042002
166,0.05,582.0,Sobol1,71.60846874783904,0.0934494673240255,0.4059706629422061
167,0.05,582.0,Sobol2,71.79907428088258,0.09342827196972993,0.3904315118047451
168,0.05,731.0,Grid1296,78.34335921191453,0.09563708545753924,0.4089552490877215
169,0.05,731.0,Grid2401,101.29900522764976,0.11821743628241915,0.06896579252905655
170,0.05,731.0,Sobol1,71.52688839954061,0.09328586071880182,0.4088779301454083
171,0.05,731.0,Sobol2,72.70240331744012,0.09459635647606879,0.36523285274038064
172,0.05,249.0,Grid1296,78.51946185103353,0.09594535316132241,0.4076079746212903
