,ratio,rndint,dataset,prediction,target,diff
2011,0.55,561.0,Sobol2,654.6476195330154,707.0,52.35238046698464
2012,0.55,237.0,Grid1296,745.6401615070806,707.0,-38.64016150708062
2013,0.55,237.0,Grid2401,781.2203208647617,707.0,-74.22032086476167
2014,0.55,237.0,Sobol1,686.9534615117059,707.0,20.046538488294118
2015,0.55,237.0,Sobol2,664.4715033243567,707.0,42.52849667564328
2016,0.55,588.0,Grid1296,733.7762892533367,707.0,-26.7762892533367
2017,0.55,588.0,Grid2401,779.9182978192517,707.0,-72.91829781925173
2018,0.55,588.0,Sobol1,678.9407607357296,707.0,28.059239264270445
2019,0.55,588.0,Sobol2,661.5531018307788,707.0,45.446898169221186
2020,0.55,951.0,Grid1296,732.8136187967884,707.0,-25.813618796788433
2021,0.55,951.0,Grid2401,775.5499044428486,707.0,-68.54990444284863
2022,0.55,951.0,Sobol1,679.0575377344297,707.0,27.94246226557027
2023,0.55,951.0,Sobol2,667.607154896345,707.0,39.39284510365496
2024,0.55,490.0,Grid1296,737.5932892825704,707.0,-30.593289282570368
2025,0.55,490.0,Grid2401,776.5847979253607,707.0,-69.5847979253607
2026,0.55,490.0,Sobol1,675.2451479513143,707.0,31.754852048685734
2027,0.55,490.0,Sobol2,654.5176465266468,707.0,52.482353473353214
2028,0.55,395.0,Grid1296,743.5490913519884,707.0,-36.54909135198841
2029,0.55,395.0,Grid2401,779.7438229429534,707.0,-72.74382294295344
2030,0.55,395.0,Sobol1,672.2560073282503,707.0,34.74399267174965
2031,0.55,395.0,Sobol2,666.370839553244,707.0,40.62916044675603
2032,0.55,877.0,Grid1296,739.352428384911,707.0,-32.352428384911036
2033,0.55,877.0,Grid2401,784.3318825429811,707.0,-77.33188254298113
2034,0.55,877.0,Sobol1,680.904292909173,707.0,26.095707090826977
2035,0.55,877.0,Sobol2,668.594923742357,707.0,38.40507625764303
2036,0.55,297.0,Grid1296,737.5243147576552,707.0,-30.524314757655247
2037,0.55,297.0,Grid2401,773.2844777820925,707.0,-66.2844777820925
2038,0.55,297.0,Sobol1,683.4738927154995,707.0,23.52610728450054
2039,0.55,297.0,Sobol2,658.7379080839324,707.0,48.26209191606756
2040,0.55,721.0,Grid1296,740.8105569487593,707.0,-33.81055694875931
2041,0.55,721.0,Grid2401,773.5361965728969,707.0,-66.53619657289687
2042,0.55,721.0,Sobol1,677.5524887480907,707.0,29.447511251909305
2043,0.55,721.0,Sobol2,661.8106185365592,707.0,45.18938146344078
2044,0.55,711.0,Grid1296,738.3323929115231,707.0,-31.33239291152313
2045,0.55,711.0,Grid2401,781.0114610067209,707.0,-74.01146100672088
2046,0.55,711.0,Sobol1,682.1240581454115,707.0,24.87594185458852
2047,0.55,711.0,Sobol2,663.9942282876075,707.0,43.005771712392516
2048,0.55,985.0,Grid1296,740.7983474913765,707.0,-33.79834749137649
2049,0.55,985.0,Grid2401,777.5069859436817,707.0,-70.50698594368168
2050,0.55,985.0,Sobol1,682.9742695594884,707.0,24.025730440511552
2051,0.55,985.0,Sobol2,653.236199255767,707.0,53.76380074423298
2052,0.55,171.0,Grid1296,741.5846936925636,707.0,-34.58469369256363
2053,0.55,171.0,Grid2401,772.5797883413275,707.0,-65.57978834132746
2054,0.55,171.0,Sobol1,684.6145628566395,707.0,22.38543714336049
2055,0.55,171.0,Sobol2,654.0914822583659,707.0,52.908517741634114
