,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse,mape,r2
305,0.5,794.0,Grid1296,Matern,1.0,1.5,-,-,57.50106997442743,0.0533812207285026,0.6695292751156727
306,0.5,794.0,Grid1296,RQ,1.0,-,1.0,-,52.29267487103056,0.0598525120826842,0.7266853848156086
307,0.5,794.0,Grid1296,ESS,1.0,-,-,1.0,680.7987342410051,0.9773359739279484,-45.32534050201893
308,0.5,794.0,Grid2401,RBF,1.0,-,-,-,675.5086536896565,1.0,-43.30978409740701
309,0.5,794.0,Grid2401,Matern,1.0,1.5,-,-,675.5086536896565,1.0,-43.30978409740701
310,0.5,794.0,Grid2401,RQ,1.0,-,1.0,-,80.14417093081548,0.0800611258656211,0.3762914735256953
311,0.5,794.0,Grid2401,ESS,1.0,-,-,1.0,693.9508288368144,0.985552227606466,-45.76222826910027
312,0.5,794.0,Sobol1,RBF,1.0,-,-,-,681.6264810160387,1.0,-49.19514902630676
313,0.5,794.0,Sobol1,Matern,1.0,1.5,-,-,21.877323532112158,0.0183667296068376,0.9482920621508316
314,0.5,794.0,Sobol1,RQ,1.0,-,1.0,-,24.376253604203715,0.0223118269578336,0.9358047701206504
315,0.5,794.0,Sobol1,ESS,1.0,-,-,1.0,681.6264810160387,1.0,-49.19514902630676
316,0.5,794.0,Sobol2,RBF,1.0,-,-,-,681.3664000493998,1.0,-50.22492507650127
317,0.5,794.0,Sobol2,Matern,1.0,1.5,-,-,681.3664000493998,1.0,-50.22492507650127
318,0.5,794.0,Sobol2,RQ,1.0,-,1.0,-,24.4563657508552,0.0228352794815504,0.9340061073146484
319,0.5,794.0,Sobol2,ESS,1.0,-,-,1.0,679.5647491279752,0.9959437167156036,-49.95438805317862
320,0.5,936.0,Grid1296,RBF,1.0,-,-,-,193.63493091049756,0.2194098126976127,-2.737728126610129
321,0.5,936.0,Grid1296,Matern,1.0,1.5,-,-,57.41539281922558,0.0555188063576928,0.6713777386595963
322,0.5,936.0,Grid1296,RQ,1.0,-,1.0,-,54.50952309096546,0.0624772998164352,0.7037999935984541
323,0.5,936.0,Grid1296,ESS,1.0,-,-,1.0,188.6236064140185,0.2121201921402382,-2.5467647796153945
324,0.5,936.0,Grid2401,RBF,1.0,-,-,-,374.8167976747171,0.4842059690661267,-12.738278300562447
325,0.5,936.0,Grid2401,Matern,1.0,1.5,-,-,31.817985289576303,0.035292500886523,0.9009990022595272
326,0.5,936.0,Grid2401,RQ,1.0,-,1.0,-,84.59164809363094,0.0861291764199761,0.3002398754874841
327,0.5,936.0,Grid2401,ESS,1.0,-,-,1.0,355.0974729752191,0.4577529756295623,-11.330746839669205
328,0.5,936.0,Sobol1,RBF,1.0,-,-,-,28.673676162348077,0.0242642995195112,0.9103719928283964
329,0.5,936.0,Sobol1,Matern,1.0,1.5,-,-,20.84650959448096,0.0175723565317181,0.9526256037818952
330,0.5,936.0,Sobol1,RQ,1.0,-,1.0,-,23.594017966179344,0.021711427099119,0.9393150777720838
331,0.5,936.0,Sobol1,ESS,1.0,-,-,1.0,27.5922527589304,0.0233839490263751,0.9170051188034504
332,0.5,936.0,Sobol2,RBF,1.0,-,-,-,29.155448949682235,0.0230466480803342,0.9058550281903796
333,0.5,936.0,Sobol2,Matern,1.0,1.5,-,-,21.55010785980874,0.0178860041410083,0.9485652587357124
334,0.5,936.0,Sobol2,RQ,1.0,-,1.0,-,22.93244860301672,0.0203179306952507,0.941755017272548
335,0.5,936.0,Sobol2,ESS,1.0,-,-,1.0,31.75532742045447,0.0248152190734199,0.8883160274701927
336,0.5,111.0,Grid1296,RBF,1.0,-,-,-,213.00644425091772,0.2485845463562702,-3.5134531302375445
337,0.5,111.0,Grid1296,Matern,1.0,1.5,-,-,57.02228619850301,0.0544744689694505,0.6765458686570631
338,0.5,111.0,Grid1296,RQ,1.0,-,1.0,-,53.73334444582305,0.061027616469536,0.7127823022815745
339,0.5,111.0,Grid1296,ESS,1.0,-,-,1.0,678.8022840940597,0.9983632363528376,-44.836351535740285
340,0.5,111.0,Grid2401,RBF,1.0,-,-,-,345.0271347793761,0.4437216173429495,-10.491301321696485
341,0.5,111.0,Grid2401,Matern,1.0,1.5,-,-,35.757395530307186,0.0393386349928205,0.8765774638242075
342,0.5,111.0,Grid2401,RQ,1.0,-,1.0,-,84.40235216389118,0.0853437857807089,0.3123430933986446
343,0.5,111.0,Grid2401,ESS,1.0,-,-,1.0,674.5371996672592,0.996551212990124,-42.92123264919903
344,0.5,111.0,Sobol1,RBF,1.0,-,-,-,26.16901776445168,0.0222929429244656,0.9252282388391774
345,0.5,111.0,Sobol1,Matern,1.0,1.5,-,-,20.27700466632181,0.0172424071215978,0.9551078538368414
346,0.5,111.0,Sobol1,RQ,1.0,-,1.0,-,23.112919732948285,0.0211979909220682,0.9416726308339602
347,0.5,111.0,Sobol1,ESS,1.0,-,-,1.0,678.6773869976843,0.9953361924552,-49.290913482041134
348,0.5,111.0,Sobol2,RBF,1.0,-,-,-,25.939489258834584,0.0225392363661583,0.9281180795505722
349,0.5,111.0,Sobol2,Matern,1.0,1.5,-,-,21.331321132324632,0.0185073338586848,0.9513892481993588
350,0.5,111.0,Sobol2,RQ,1.0,-,1.0,-,24.48029812325531,0.0222876517343248,0.9359778529037184
351,0.5,111.0,Sobol2,ESS,1.0,-,-,1.0,678.7549589593657,0.994851753711106,-48.21787525763723
352,0.5,816.0,Grid1296,RBF,1.0,-,-,-,229.1339666214013,0.2707563595174207,-4.234048163755928
353,0.5,816.0,Grid1296,Matern,1.0,1.5,-,-,56.592291139625615,0.0540529098791037,0.6807188189157943
354,0.5,816.0,Grid1296,RQ,1.0,-,1.0,-,54.92740287688152,0.062147354467222,0.6992283505142827
355,0.5,816.0,Grid1296,ESS,1.0,-,-,1.0,676.757362944773,0.9940658696627004,-44.658826666171
356,0.5,816.0,Grid2401,RBF,1.0,-,-,-,417.2591876923058,0.5444811657227961,-15.952035589881202
357,0.5,816.0,Grid2401,Matern,1.0,1.5,-,-,31.81413499657348,0.0360756037590009,0.9014514410389106
358,0.5,816.0,Grid2401,RQ,1.0,-,1.0,-,84.58942497570102,0.0858339077592653,0.303305817060832
359,0.5,816.0,Grid2401,ESS,1.0,-,-,1.0,670.7604424253568,0.9901759353416354,-42.80714235178296
360,0.5,816.0,Sobol1,RBF,1.0,-,-,-,28.411690763222992,0.0226712598187452,0.9120051812396364
361,0.5,816.0,Sobol1,Matern,1.0,1.5,-,-,20.50090374678714,0.0171218679639552,0.954184866529007
362,0.5,816.0,Sobol1,RQ,1.0,-,1.0,-,23.054377749310376,0.0209244852724659,0.9420611657710284
363,0.5,816.0,Sobol1,ESS,1.0,-,-,1.0,674.8245386073864,0.9859927736626752,-48.64147483355087
364,0.5,816.0,Sobol2,RBF,1.0,-,-,-,24.7818370900438,0.0219358448830115,0.931926184904653
365,0.5,816.0,Sobol2,Matern,1.0,1.5,-,-,20.361778328606228,0.0172794240015141,0.9540437582318556
366,0.5,816.0,Sobol2,RQ,1.0,-,1.0,-,23.030240618960573,0.0207546584948493,0.941209108448282
367,0.5,816.0,Sobol2,ESS,1.0,-,-,1.0,24.78174132200128,0.0219357541088379,0.9319267110386436
368,0.5,968.0,Grid1296,RBF,1.0,-,-,-,193.07013594054283,0.2199023273703159,-2.749469409214583
369,0.5,968.0,Grid1296,Matern,1.0,1.5,-,-,58.06984402405888,0.0541639391939723,0.66081164866447
370,0.5,968.0,Grid1296,RQ,1.0,-,1.0,-,51.23349961673033,0.0588937848649154,0.7359734173470257
371,0.5,968.0,Grid1296,ESS,1.0,-,-,1.0,592.0673966526989,0.8114785908637449,-34.25996711067254
372,0.5,968.0,Grid2401,RBF,1.0,-,-,-,387.71911621369793,0.5010230659309202,-13.412849604929123
373,0.5,968.0,Grid2401,Matern,1.0,1.5,-,-,32.90189266645731,0.0369673435423413,0.8962095991663633
374,0.5,968.0,Grid2401,RQ,1.0,-,1.0,-,83.05593238690314,0.0837072899350245,0.338611342594505
375,0.5,968.0,Grid2401,ESS,1.0,-,-,1.0,1430.8878317205767,0.7683728081111607,-195.30285120217027
376,0.5,968.0,Sobol1,RBF,1.0,-,-,-,27.633037940884165,0.0244655450804262,0.9167177510006904
377,0.5,968.0,Sobol1,Matern,1.0,1.5,-,-,20.600336284432576,0.0173089393783351,0.9537146238127838
378,0.5,968.0,Sobol1,RQ,1.0,-,1.0,-,23.671148851456174,0.0216048330659376,0.938886965203868
