,ratio,rndint,dataset,kernel,rmse,mape,r2
1839,0.15,294.0,Grid2401,RBF,76.81686475576878,0.06193684343630726,-0.21362886870830922
1840,0.15,294.0,Grid2401,RQ,28.32835288373009,0.01600273597602795,0.8349500524416867
1841,0.15,297.0,Grid2401,ESS,586.7412875495933,0.8143601471809391,-80.32973927006701
1842,0.15,297.0,Grid2401,Matern,31.09482693150148,0.017341468304114642,0.7715809248100927
1843,0.15,297.0,Grid2401,RBF,698.9538430961944,1.0,-114.41256023343959
1844,0.15,297.0,Grid2401,RQ,22.144351262352277,0.01380268453833346,0.884153743466724
1845,0.15,35.0,Grid2401,ESS,26.294372098023466,0.01677357337296893,0.853169430670028
1846,0.15,35.0,Grid2401,Matern,27.603597988258077,0.01501201317646506,0.838183701902154
1847,0.15,35.0,Grid2401,RBF,72.66541782933001,0.06322515668622287,-0.12136352122545202
1848,0.15,35.0,Grid2401,RQ,25.173445749329197,0.013877308498107534,0.8654213381054493
1849,0.15,390.0,Grid2401,ESS,91.71866322458139,0.07224322196023203,-0.8162487073376228
1850,0.15,390.0,Grid2401,Matern,28.419206899289648,0.016069081819140983,0.8256251716595391
1851,0.15,390.0,Grid2401,RBF,91.7186632541118,0.07224321929295026,-0.8162487085071679
1852,0.15,390.0,Grid2401,RQ,25.433365038329427,0.015066288018444883,0.8603414480633372
1853,0.15,395.0,Grid2401,ESS,91.29768101715297,0.06973620331737687,-0.8165767692073396
1854,0.15,395.0,Grid2401,Matern,31.077860248654076,0.018115496016410156,0.7895075699588084
1855,0.15,395.0,Grid2401,RBF,91.29768494732612,0.06973620651912486,-0.8165769256069613
1856,0.15,395.0,Grid2401,RQ,21.725787599490335,0.013996844055939995,0.8971308096164148
1857,0.15,48.0,Grid2401,ESS,83.05968787039996,0.06629158549856984,-0.5696131267655735
1858,0.15,48.0,Grid2401,Matern,38.98002637922899,0.019562562315979515,0.6543024593076532
1859,0.15,48.0,Grid2401,RBF,83.05967191231584,0.06629154387104388,-0.5696125236326566
1860,0.15,48.0,Grid2401,RQ,30.621387662841087,0.01594716693529849,0.7866651691313438
1861,0.15,490.0,Grid2401,ESS,698.6607043563893,1.0,-117.43196815697256
1862,0.15,490.0,Grid2401,Matern,36.499548954269606,0.018219781716689473,0.6767702642108424
1863,0.15,490.0,Grid2401,RBF,93.93002834387315,0.06944590232324495,-1.1406477990535144
1864,0.15,490.0,Grid2401,RQ,25.312703736225572,0.015368727988208673,0.8445418897498522
