,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse,mape,r2
14817,0.95,829.0,Grid1296,Matern,1.0,1.5,-,-,75.62945173872406,0.0878646179892482,0.4103984448392678
14818,0.95,829.0,Grid1296,RQ,1.0,-,1.0,-,79.18779905251476,0.0925619132987469,0.3536120362953457
14819,0.95,829.0,Grid1296,ESS,1.0,-,-,1.0,97.72908485546148,0.1069159556423564,0.0154803689990508
14820,0.95,829.0,Grid2401,RBF,1.0,-,-,-,69.07141598127251,0.0730183422822188,0.509637583970308
14821,0.95,829.0,Grid2401,Matern,1.0,1.5,-,-,71.6486251319313,0.0721143293555643,0.4723618609779813
14822,0.95,829.0,Grid2401,RQ,1.0,-,1.0,-,82.0397623455178,0.0839195130006365,0.30821802017396
14823,0.95,829.0,Grid2401,ESS,1.0,-,-,1.0,69.07140869082632,0.0730183235101731,0.5096376874852155
14824,0.95,829.0,Sobol1,RBF,1.0,-,-,-,63.47994413763772,0.0650991654840107,0.5807433318122215
14825,0.95,829.0,Sobol1,Matern,1.0,1.5,-,-,47.31464135348381,0.0517431440326068,0.7670847032493617
14826,0.95,829.0,Sobol1,RQ,1.0,-,1.0,-,58.27524454349718,0.0673129420343707,0.6466743910041022
14827,0.95,829.0,Sobol1,ESS,1.0,-,-,1.0,63.479893685604885,0.0650991189426524,0.5807439982382263
14828,0.95,829.0,Sobol2,RBF,1.0,-,-,-,80.48675505978353,0.0757086121553586,0.3295228654472862
14829,0.95,829.0,Sobol2,Matern,1.0,1.5,-,-,68.2682215510023,0.0673425728773003,0.5176388598870088
14830,0.95,829.0,Sobol2,RQ,1.0,-,1.0,-,73.2205208877906,0.0847146474440619,0.4451178391155036
14831,0.95,829.0,Sobol2,ESS,1.0,-,-,1.0,80.48669803124157,0.0757085549559393,0.3295238155742934
14832,0.95,996.0,Grid1296,RBF,1.0,-,-,-,83.24735061112065,0.0936975063981948,0.285508898397492
14833,0.95,996.0,Grid1296,Matern,1.0,1.5,-,-,66.74942449331323,0.0765726598731278,0.5406422646330304
14834,0.95,996.0,Grid1296,RQ,1.0,-,1.0,-,75.70554521996606,0.0853746966829924,0.4091035702859552
14835,0.95,996.0,Grid1296,ESS,1.0,-,-,1.0,63.27772612299636,0.0726803486565903,0.5871828685088634
14836,0.95,996.0,Grid2401,RBF,1.0,-,-,-,75.36956751362482,0.0860329660059662,0.4159443246171707
14837,0.95,996.0,Grid2401,Matern,1.0,1.5,-,-,66.32765607524402,0.0720886308793736,0.5476740516133995
14838,0.95,996.0,Grid2401,RQ,1.0,-,1.0,-,84.49605073675562,0.088971747519896,0.2659341442096957
14839,0.95,996.0,Grid2401,ESS,1.0,-,-,1.0,665.7627520011102,0.9668497580066816,-44.57232535791053
14840,0.95,996.0,Sobol1,RBF,1.0,-,-,-,63.38734646910302,0.0603703227313296,0.5842323324732361
14841,0.95,996.0,Sobol1,Matern,1.0,1.5,-,-,50.67913062576597,0.0548036829028293,0.7342312693587869
