,ratio,rndint,dataset,kernel,prediction,std dev.,target,diff
5808,0.4,490.0,Grid1296,RBF,371.1475551585884,0.9085055057336506,707.0,335.8524448414116
5809,0.4,490.0,Grid1296,Matern,713.6168077978589,0.411159218376209,707.0,-6.616807797858883
5810,0.4,490.0,Grid1296,RQ,712.9121553902489,0.6582091043255583,707.0,-5.912155390248927
5811,0.4,490.0,Grid1296,ESS,0.0,1.0,707.0,707.0
5812,0.4,490.0,Grid2401,RBF,632.8936582919323,0.5754683855801077,707.0,74.1063417080677
5813,0.4,490.0,Grid2401,Matern,698.7686223491542,0.41238979324074315,707.0,8.231377650845843
5814,0.4,490.0,Grid2401,RQ,750.6090608583575,0.7091546716476679,707.0,-43.60906085835745
5815,0.4,490.0,Grid2401,ESS,0.0,1.0,707.0,707.0
5816,0.4,490.0,Sobol1,RBF,716.6576526359186,0.04801196989622411,707.0,-9.657652635918566
5817,0.4,490.0,Sobol1,Matern,718.2891659916033,0.13735702625686103,707.0,-11.28916599160334
5818,0.4,490.0,Sobol1,RQ,713.8736242239254,0.377387082067841,707.0,-6.87362422392539
5819,0.4,490.0,Sobol1,ESS,716.6576534195465,0.048011967621218135,707.0,-9.657653419546477
5820,0.4,490.0,Sobol2,RBF,738.7960766248021,0.078096356154142,707.0,-31.79607662480214
5821,0.4,490.0,Sobol2,Matern,726.6785451560672,0.19104253924532977,707.0,-19.67854515606723
5822,0.4,490.0,Sobol2,RQ,716.2844931228751,0.47805983990720724,707.0,-9.28449312287512
5823,0.4,490.0,Sobol2,ESS,738.7960737703147,0.0780963713028056,707.0,-31.796073770314706
5824,0.4,794.0,Grid1296,RBF,0.0,1.0,707.0,707.0
5825,0.4,794.0,Grid1296,Matern,716.1866421285595,0.40985700871628267,707.0,-9.18664212855947
5826,0.4,794.0,Grid1296,RQ,713.3666194583257,0.6636677826922861,707.0,-6.366619458325658
5827,0.4,794.0,Grid1296,ESS,0.0,1.0,707.0,707.0
5828,0.4,794.0,Grid2401,RBF,0.0,1.0,707.0,707.0
5829,0.4,794.0,Grid2401,Matern,0.0,1.0,707.0,707.0
5830,0.4,794.0,Grid2401,RQ,742.1678814479618,0.6277555340360047,707.0,-35.167881447961804
5831,0.4,794.0,Grid2401,ESS,0.0,1.0,707.0,707.0
5832,0.4,794.0,Sobol1,RBF,0.0,1.0,707.0,707.0
5833,0.4,794.0,Sobol1,Matern,715.9861193264805,0.1715097894721838,707.0,-8.986119326480548
5834,0.4,794.0,Sobol1,RQ,706.9215536933668,0.4327550888037129,707.0,0.0784463066331682
5835,0.4,794.0,Sobol1,ESS,0.0,1.0,707.0,707.0
5836,0.4,794.0,Sobol2,RBF,0.0,1.0,707.0,707.0
5837,0.4,794.0,Sobol2,Matern,1.115609427483585e-40,1.0,707.0,707.0
5838,0.4,794.0,Sobol2,RQ,707.0119054477962,0.5079423172888751,707.0,-0.011905447796152657
5839,0.4,35.0,Grid1296,RBF,450.49512140878346,0.8669441534284666,707.0,256.50487859121654
5840,0.4,794.0,Sobol2,ESS,0.0,1.0,707.0,707.0
5841,0.4,35.0,Grid1296,Matern,714.5199870177487,0.4138851589680334,707.0,-7.51998701774869
5842,0.4,35.0,Grid1296,RQ,713.6541449831268,0.6638980614013351,707.0,-6.654144983126798
5843,0.4,35.0,Grid1296,ESS,177.5223185661334,0.9047030170923851,707.0,529.4776814338666
5844,0.4,35.0,Grid2401,RBF,660.8129053624461,0.5105699385131214,707.0,46.187094637553855
5845,0.4,35.0,Grid2401,Matern,706.0242590654975,0.34797495630045205,707.0,0.9757409345024826
5846,0.4,35.0,Grid2401,RQ,743.0201243894352,0.6572800202636765,707.0,-36.02012438943518
5847,0.4,35.0,Grid2401,ESS,761.76318359375,2.0089230241138925e-06,707.0,-54.76318359375
5848,0.4,35.0,Sobol1,RBF,740.6955127756582,0.06429911881933935,707.0,-33.695512775658244
5849,0.4,35.0,Sobol1,Matern,723.7192254335813,0.1776330740412712,707.0,-16.7192254335813
5850,0.4,35.0,Sobol1,RQ,721.6525899468047,0.447750723617525,707.0,-14.65258994680471
5851,0.4,35.0,Sobol1,ESS,0.0,1.0,707.0,707.0
5852,0.4,35.0,Sobol2,RBF,731.7483478488648,0.1612228525332511,707.0,-24.748347848864796
5853,0.4,35.0,Sobol2,Matern,707.0782396665652,0.2730570471291168,707.0,-0.07823966656519588
5854,0.4,35.0,Sobol2,RQ,688.6788375546295,0.5731230983916774,707.0,18.321162445370533
5855,0.4,35.0,Sobol2,ESS,0.0,1.0,707.0,707.0
5856,0.4,996.0,Grid1296,RBF,417.44411392659686,0.8816733885377633,707.0,289.55588607340314
5857,0.4,996.0,Grid1296,Matern,710.8425970906629,0.4229232289713131,707.0,-3.8425970906629345
5858,0.4,759.0,Grid1296,RBF,0.0,1.0,707.0,707.0
5859,0.4,996.0,Grid1296,RQ,713.911580847905,0.6727028597489961,707.0,-6.911580847905043
5860,0.4,759.0,Grid1296,Matern,706.918564720618,0.4333215788999133,707.0,0.08143527938204898
5861,0.4,996.0,Grid1296,ESS,447.5292378600583,0.7315359924732482,707.0,259.4707621399417
5862,0.4,759.0,Grid1296,RQ,705.9127688526896,0.6752282045846107,707.0,1.0872311473103764
5863,0.4,996.0,Grid2401,RBF,590.6494774579079,0.638133098806543,707.0,116.35052254209211
5864,0.4,759.0,Grid1296,ESS,384.3127054624424,0.903276561843959,707.0,322.6872945375576
5865,0.4,759.0,Grid2401,RBF,0.0,1.0,707.0,707.0
5866,0.4,996.0,Grid2401,Matern,709.3990193420057,0.3756615913879647,707.0,-2.3990193420056585
5867,0.4,759.0,Grid2401,Matern,0.0,1.0,707.0,707.0
5868,0.4,996.0,Grid2401,RQ,752.5862737352559,0.6827733623680317,707.0,-45.58627373525587
5869,0.4,759.0,Grid2401,RQ,745.4798683637266,0.6619167704582809,707.0,-38.47986836372661
5870,0.4,996.0,Grid2401,ESS,1.9176893076783235e-09,1.0,707.0,706.9999999980823
5871,0.4,759.0,Grid2401,ESS,775.5218851566315,0.08023285306128743,707.0,-68.52188515663147
5872,0.4,996.0,Sobol1,RBF,717.0510013800799,0.0807519332108637,707.0,-10.051001380079924
5873,0.4,759.0,Sobol1,RBF,0.0,1.0,707.0,707.0
5874,0.4,530.0,Grid1296,RBF,427.0068169478892,0.8778949465464908,707.0,279.9931830521108
5875,0.4,530.0,Grid1296,Matern,715.8579608536145,0.412360139231931,707.0,-8.857960853614486
5876,0.4,996.0,Sobol1,Matern,710.83021353719,0.1593698036961155,707.0,-3.8302135371900476
5877,0.4,530.0,Grid1296,RQ,719.2126127353881,0.6619559839332824,707.0,-12.21261273538812
5878,0.4,759.0,Sobol1,Matern,723.5663252375153,0.2068703751094703,707.0,-16.566325237515343
5879,0.4,530.0,Grid1296,ESS,427.009414179503,0.8778938829855052,707.0,279.990585820497
5880,0.4,530.0,Grid2401,RBF,592.2728908537194,0.657422379382486,707.0,114.72710914628055
5881,0.4,996.0,Sobol1,RQ,703.0651736235612,0.39873410915931107,707.0,3.934826376438764
5882,0.4,759.0,Sobol1,RQ,718.7270869412735,0.4988534694054629,707.0,-11.727086941273456
5883,0.4,530.0,Grid2401,Matern,706.4495904055374,0.4001193605007715,707.0,0.5504095944626215
5884,0.4,996.0,Sobol1,ESS,0.0,1.0,707.0,707.0
5885,0.4,759.0,Sobol1,ESS,0.0,1.0,707.0,707.0
5886,0.4,530.0,Grid2401,RQ,743.7379068451455,0.6846888189236648,707.0,-36.73790684514552
5887,0.4,996.0,Sobol2,RBF,719.0248828850763,0.07087069882884971,707.0,-12.024882885076295
5888,0.4,530.0,Grid2401,ESS,592.2733322951876,0.6574218042838113,707.0,114.72666770481237
5889,0.4,759.0,Sobol2,RBF,0.0,1.0,707.0,707.0
5890,0.4,996.0,Sobol2,Matern,717.8415535190138,0.18663414885354918,707.0,-10.841553519013814
5891,0.4,530.0,Sobol1,RBF,715.2810811215159,0.03425221643696696,707.0,-8.281081121515854
5892,0.4,759.0,Sobol2,Matern,722.3489948333606,0.19101232563518777,707.0,-15.34899483336062
5893,0.4,996.0,Sobol2,RQ,706.1314904881841,0.454884151457495,707.0,0.868509511815887
5894,0.4,530.0,Sobol1,Matern,717.3850532114159,0.12521025203527947,707.0,-10.38505321141588
5895,0.4,759.0,Sobol2,RQ,716.7673340488896,0.47906965223238135,707.0,-9.767334048889552
5896,0.4,996.0,Sobol2,ESS,2.4381177795423192,0.9999929217778213,707.0,704.5618822204577
5897,0.4,759.0,Sobol2,ESS,729.7069708033232,0.07987411024804053,707.0,-22.706970803323202
5898,0.4,530.0,Sobol1,RQ,715.2314494779345,0.34416739286187154,707.0,-8.231449477934461
5899,0.4,530.0,Sobol1,ESS,715.2810748427046,0.034252144725032886,707.0,-8.281074842704584
5900,0.4,530.0,Sobol2,RBF,719.4377165755126,0.13545274484520897,707.0,-12.437716575512582
5901,0.4,530.0,Sobol2,Matern,716.7976289371541,0.23825032509066088,707.0,-9.797628937154059
5902,0.4,530.0,Sobol2,RQ,702.36190499208,0.531266253707141,707.0,4.638095007920015
5903,0.4,854.0,Grid1296,RBF,434.44518566113993,0.8757843378721408,707.0,272.55481433886007
5904,0.4,530.0,Sobol2,ESS,719.6740855703953,0.14198920880061186,707.0,-12.674085570395278
5905,0.4,854.0,Grid1296,Matern,713.6767181280684,0.4221189045529467,707.0,-6.676718128068387
5906,0.4,854.0,Grid1296,RQ,714.9642761881954,0.6716763836298886,707.0,-7.964276188195413
5907,0.4,854.0,Grid1296,ESS,6.978132369187002e-55,1.0,707.0,707.0
5908,0.4,854.0,Grid2401,RBF,485.29214918196635,0.7788197009169684,707.0,221.70785081803365
5909,0.4,854.0,Grid2401,Matern,710.3676164240411,0.48317999985782023,707.0,-3.3676164240411026
5910,0.4,854.0,Grid2401,RQ,766.4413655175772,0.7087063330576255,707.0,-59.441365517577196
5911,0.4,854.0,Grid2401,ESS,4.3348586583483896e-13,1.0,707.0,706.9999999999995
5912,0.4,854.0,Sobol1,RBF,722.6080971475494,0.03460011242575982,707.0,-15.608097147549415
5913,0.4,854.0,Sobol1,Matern,719.534287072066,0.12359160818876838,707.0,-12.534287072066036
5914,0.4,854.0,Sobol1,RQ,715.5488986038632,0.33336271615385543,707.0,-8.548898603863222
5915,0.4,854.0,Sobol1,ESS,722.6080938849575,0.03460011526212484,707.0,-15.608093884957498
5916,0.4,854.0,Sobol2,RBF,737.9226407745541,0.08516698413631665,707.0,-30.92264077455411
5917,0.4,854.0,Sobol2,Matern,726.5619010199379,0.20113293778522412,707.0,-19.561901019937864
5918,0.4,854.0,Sobol2,RQ,718.6679308477246,0.4988377116290974,707.0,-11.66793084772462
5919,0.4,854.0,Sobol2,ESS,737.9226231272355,0.08516701080188926,707.0,-30.92262312723551
5920,0.4,222.0,Grid1296,RBF,0.0,1.0,707.0,707.0
5921,0.4,222.0,Grid1296,Matern,714.6171506568979,0.4217720217498065,707.0,-7.617150656897934
