,ratio,rndint,dataset,#trees,rmse,mape,r2
6282,0.3,711.0,Sobol1,750.0,20.78757168397001,0.017414752144750006,0.9518271123161496
6283,0.3,711.0,Sobol2,750.0,18.07071493876109,0.016177754779598694,0.9635110430367281
6284,0.3,711.0,Grid1296,1000.0,38.417433668738866,0.041936518524900705,0.8548455356779496
6285,0.3,711.0,Grid2401,1000.0,80.73455363044683,0.0834065138523997,0.3876995357253499
6286,0.3,711.0,Sobol1,1000.0,20.77967468711742,0.017401894024057316,0.9518637061895515
6287,0.3,711.0,Sobol2,1000.0,18.063551954282687,0.016148695677212672,0.9635399647513953
6288,0.3,985.0,Grid1296,10.0,41.45627268679602,0.044322849448372836,0.8310564288695333
6289,0.3,985.0,Grid2401,10.0,80.27244796448949,0.08273197800386846,0.39435775870641443
6290,0.3,985.0,Sobol1,10.0,21.375223753137956,0.0179690070492105,0.9491594630194282
6291,0.3,985.0,Sobol2,10.0,18.307737176628713,0.01652963932068035,0.9617587685597992
6292,0.3,985.0,Grid1296,100.0,39.75263533877663,0.04303708965940728,0.8446565253269942
6293,0.3,985.0,Grid2401,100.0,79.55906170441818,0.08201115862242382,0.40507468602681296
6294,0.3,985.0,Sobol1,100.0,20.915430853830202,0.017524104412691945,0.9513231551096282
6295,0.3,985.0,Sobol2,100.0,17.7749418858357,0.015505070514959127,0.9639521879772389
6296,0.3,985.0,Grid1296,250.0,39.599046367510056,0.04289857034836621,0.8458545819165051
6297,0.3,985.0,Grid2401,250.0,79.70983155048518,0.08213331255683493,0.4028177014204226
6298,0.3,985.0,Sobol1,250.0,20.847623013133074,0.01746774639752071,0.9516382642151496
6299,0.3,985.0,Sobol2,250.0,17.47277000361049,0.015269086017943342,0.9651673872765332
6300,0.3,985.0,Grid1296,500.0,39.53495794258673,0.04285020234260009,0.8463531263895694
6301,0.3,985.0,Grid2401,500.0,79.69379845419496,0.08213491428188582,0.40305791566171145
6302,0.3,985.0,Sobol1,500.0,20.787801916518614,0.01745431376256641,0.9519154086493976
6303,0.3,985.0,Sobol2,500.0,17.590912157102224,0.0153672569121136,0.9646947533046694
6304,0.3,985.0,Grid1296,750.0,39.532654995210585,0.042842500328060765,0.8463710260094034
6305,0.3,985.0,Grid2401,750.0,79.65336857373721,0.08209474076714501,0.4036634376905103
6306,0.3,985.0,Sobol1,750.0,20.775210033432913,0.01745041146623722,0.9519736439718535
6307,0.3,985.0,Sobol2,750.0,17.58299125517152,0.015367674986583785,0.9647265409042465
6308,0.3,985.0,Grid1296,1000.0,39.52908906458711,0.04283958987873142,0.8463987400880727
6309,0.3,985.0,Grid2401,1000.0,79.64061806563416,0.08207469795940074,0.4038543394874732
6310,0.3,985.0,Sobol1,1000.0,20.779664846780765,0.017449530353639654,0.9519530452496316
6311,0.3,985.0,Sobol2,1000.0,17.569664821866773,0.015375672679490283,0.9647799892915714
6312,0.3,171.0,Grid1296,10.0,39.156397152121784,0.042587472525951305,0.8491992316112632
6313,0.3,171.0,Grid2401,10.0,81.27503847526769,0.0836593708435664,0.37921976894154674
6314,0.3,171.0,Sobol1,10.0,21.91770661452374,0.018709167876778714,0.9464011851830999
6315,0.3,171.0,Sobol2,10.0,20.099412127415132,0.017236467566891768,0.9540807211353679
6316,0.3,171.0,Grid1296,100.0,38.69629521407064,0.04217656123550801,0.8527223383717722
6317,0.3,171.0,Grid2401,100.0,81.98529895771226,0.08451484370707885,0.36832239503494335
6318,0.3,171.0,Sobol1,100.0,21.517378682478082,0.017833907851630856,0.9483412736768158
6319,0.3,171.0,Sobol2,100.0,19.18006172167766,0.016140255714042984,0.9581853612238869
6320,0.3,171.0,Grid1296,250.0,38.662387974622106,0.04216793854260318,0.8529803264316809
6321,0.3,171.0,Grid2401,250.0,81.82193862529608,0.08433237336085406,0.3708371936105497
6322,0.3,171.0,Sobol1,250.0,21.49593127271199,0.017741819015181428,0.9484442038446795
6323,0.3,171.0,Sobol2,250.0,19.052983980338794,0.016015327014561927,0.9587376125045695
6324,0.3,171.0,Grid1296,500.0,38.708689859484174,0.04220293285799721,0.8526279755013799
6325,0.3,171.0,Grid2401,500.0,81.77083227457763,0.08427554681583724,0.37162290398966735
6326,0.3,171.0,Sobol1,500.0,21.514994853113013,0.017754751956693494,0.9483527191943364
6327,0.3,171.0,Sobol2,500.0,19.099426248545726,0.015991594077031036,0.9585362105180159
6328,0.3,171.0,Grid1296,750.0,38.71791354160222,0.04220212953552083,0.852557734185355
6329,0.3,171.0,Grid2401,750.0,81.78954737977463,0.08429768439002198,0.37133523444013417
6330,0.3,171.0,Sobol1,750.0,21.478901573324052,0.01777439504105307,0.9485258594769588
6331,0.3,171.0,Sobol2,750.0,19.113704353335265,0.01598740647303963,0.9584741934068758
6332,0.3,171.0,Grid1296,1000.0,38.71941199372912,0.042198247768785745,0.8525463214085864
