,ratio,rndint,dataset,kernel,time [hrs],rmse,r2
9189,0.6,816.0,Grid2401,Matern,0.0011832745869954427,34.41980905965268,0.8827241646727907
9190,0.6,816.0,Grid2401,RQ,0.006211901307106018,84.02431682142522,0.30112162674209164
9191,0.6,816.0,Grid2401,ESS,0.00035465763674841986,672.5845519199299,-43.78013490935291
9192,0.6,816.0,Sobol1,RBF,0.0010564059681362576,27.908431996805923,0.9162206743371547
9193,0.6,816.0,Sobol1,Matern,0.0012425886260138618,21.346262183379377,0.9509871828707991
9194,0.6,816.0,Sobol1,RQ,0.007265116771062215,24.75772479359642,0.9340693361285246
9195,0.6,816.0,Sobol1,ESS,0.0005909541580412123,675.6898340709189,-48.10896220971481
9196,0.6,816.0,Sobol2,RBF,0.0007635184129079183,25.450114965221797,0.9288699648978889
9197,0.6,816.0,Sobol2,Matern,0.0008386509948306613,21.063756575478827,0.9512757480359412
9198,0.6,816.0,Sobol2,RQ,0.004863527682092455,24.790118719028573,0.9325113502614055
9199,0.6,816.0,Sobol2,ESS,0.0007565134763717652,676.0944200279922,-49.1982097876815
9200,0.6,968.0,Grid1296,RBF,0.0002966512574089898,147.84381007133098,-1.2145206316600246
9201,0.6,968.0,Grid1296,Matern,0.00033951401710510256,55.4506253522362,0.6884797124592839
9202,0.6,968.0,Grid1296,RQ,0.003055393828286065,52.33681429369698,0.7224840133947366
9203,0.6,968.0,Grid1296,ESS,0.00021029240555233425,604.268749413415,-35.9942057612225
9204,0.6,968.0,Grid2401,RBF,0.000967554317580329,268.8681047592005,-6.065211305887452
9205,0.6,968.0,Grid2401,Matern,0.0009494578176074558,41.27248987123879,0.8335177553552325
9206,0.6,968.0,Grid2401,RQ,0.007106692790985108,81.21292035732493,0.3553902963839485
9207,0.6,968.0,Grid2401,ESS,0.00040058414141337076,634.5132182589844,-38.348477329911276
9208,0.6,968.0,Sobol1,RBF,0.0008354467815823026,29.766645524052702,0.9048870249481996
9209,0.6,968.0,Sobol1,Matern,0.0009904642899831136,21.198995491534653,0.9517596400322015
9210,0.6,968.0,Sobol1,RQ,0.009756735894415114,25.577803196970972,0.9297726213855562
9211,0.6,968.0,Sobol1,ESS,0.0031053100691901315,29.766644064670146,0.9048870342744916
9212,0.6,968.0,Sobol2,RBF,0.00046154340108235675,24.440094096795743,0.9356373761045846
9213,0.6,968.0,Sobol2,Matern,0.0005546303590138753,21.40890905882308,0.9506124970918893
9214,0.6,968.0,Sobol2,RQ,0.005292103952831692,26.52138901627892,0.9242084960129011
9215,0.6,968.0,Sobol2,ESS,0.0006191909313201904,24.440094773438112,0.9356373725407293
9216,0.6,829.0,Grid1296,RBF,0.00019901394844055176,177.35969267475002,-2.177738737188859
9217,0.6,829.0,Grid1296,Matern,0.00024095363087124294,57.489555869102595,0.6661232017782799
9218,0.6,829.0,Grid1296,RQ,0.0010764649841520522,53.72740247476591,0.7083916053662266
9219,0.6,829.0,Grid1296,ESS,0.00020009067323472764,177.35954874200823,-2.1777335795292285
9220,0.6,829.0,Grid2401,RBF,0.00041670097245110406,295.83189327276733,-7.653057744481195
9221,0.6,829.0,Grid2401,Matern,0.0007581368419859144,35.50956113042158,0.8753276270671557
9222,0.6,829.0,Grid2401,RQ,0.0031412220001220703,85.37444278627355,0.27933176436870866
9223,0.6,829.0,Grid2401,ESS,0.000531578262646993,295.83180418864737,-7.653052533076098
9224,0.6,829.0,Sobol1,RBF,0.00045530531141493055,28.633549394200557,0.9108626039986571
9225,0.6,829.0,Sobol1,Matern,0.0010469551881154377,21.615785419025517,0.949201415454564
9226,0.6,829.0,Sobol1,RQ,0.004193341930707296,24.928848185382694,0.93243621115742
9227,0.6,829.0,Sobol1,ESS,0.001704834434721205,28.63353624854166,0.9108626858445728
9228,0.6,829.0,Sobol2,RBF,0.00041390796502431234,25.212102772436346,0.9320425538636925
9229,0.6,829.0,Sobol2,Matern,0.0005031996965408326,21.367672042948417,0.9511872437866483
9230,0.6,829.0,Sobol2,RQ,0.00250634405348036,26.271463184116907,0.9262117118880712
9231,0.6,829.0,Sobol2,ESS,0.0007350901100370619,25.212093782565454,0.9320426023268108
9232,0.6,222.0,Grid1296,RBF,7.612950272030301e-05,679.7454457923764,-45.323507053910575
9233,0.6,222.0,Grid1296,Matern,0.00016752176814609104,57.50863919271744,0.6684301745295808
